,disease_name,n_people,pct_of_med_users
148,Nicotine dependence,20,0.3
149,Unspecified psychosis not due to a substance or known physiological condition,20,0.3
150,Conjunctivitis,20,0.3
151,Testicular hypofunction,20,0.3
152,"Disorder of bone density and structure, unspecified",20,0.3
153,"Mental disorder, not otherwise specified",19,0.3
154,Symptoms and signs concerning food and fluid intake,19,0.3
155,"Malignant (primary) neoplasm, unspecified",19,0.3
156,"Bacterial infection, unspecified",19,0.3
157,Calculus of kidney,18,0.3
158,Emphysema,18,0.3
159,"Acute upper respiratory infection, unspecified",17,0.3
160,Atherosclerosis,17,0.3
161,Ovarian dysfunction,17,0.3
162,Acute atopic conjunctivitis,17,0.3
163,Long term (current) use of non-steroidal anti-inflammatories (NSAID),17,0.3
164,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",16,0.2
165,Prevent gastric ulcer,16,0.2
166,Prevent tooth infection,16,0.2
167,"Nutritional deficiency, unspecified",16,0.2
168,Other specified urinary incontinence,16,0.2
169,Other nontoxic goiter,16,0.2
170,"Anogenital herpesviral infection, unspecified",15,0.2
171,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere,15,0.2
172,"Reaction to severe stress, unspecified",14,0.2
173,Lupus erythematosus,14,0.2
174,"Disorder of the skin and subcutaneous tissue, unspecified",14,0.2
175,"Chronic kidney disease, unspecified",14,0.2
176,Zoster [herpes zoster],14,0.2
177,Presence of cardiac and vascular implants and grafts,14,0.2
178,Prevent migraine,14,0.2
179,Unspecified disorder of ear,14,0.2
180,"Nonscarring hair loss, unspecified",14,0.2
181,Rosacea,14,0.2
182,"Fever, unspecified",13,0.2
183,Prevent breast cancer,13,0.2
184,Herpesviral vesicular dermatitis,13,0.2
185,"Liver disease, unspecified",13,0.2
186,Malignant neoplasm of prostate,12,0.2
187,Dental caries,12,0.2
188,"Anemia, unspecified",12,0.2
189,Crohn's disease [regional enteritis],12,0.2
190,Other diseases of esophagus,12,0.2
191,Other systemic involvement of connective tissue,12,0.2
192,Prevent drug side effect,12,0.2
193,Prevent bone loss/osteoporosis,11,0.2
194,"Viral infection, unspecified",11,0.2
195,Prevent hypertension,11,0.2
196,Cramp and spasm,11,0.2
197,"Bladder disorder, unspecified",10,0.2
198,"Acquired absence of organs, not elsewhere classified",10,0.2
199,"Alzheimer's disease, unspecified",10,0.2
200,Streptococcal pharyngitis,10,0.2
201,Conduct disorders,10,0.2
202,Otitis externa,9,0.1
203,"Pulmonary heart disease, unspecified",9,0.1
204,Other specified symptoms and signs involving the circulatory and respiratory systems,9,0.1
205,Malaise and fatigue,9,0.1
206,"Joint disorder, unspecified",9,0.1
207,Prevent asthma,8,0.1
208,Abnormal sputum,8,0.1
209,"Herpesviral infection, unspecified",8,0.1
210,Urticaria,8,0.1
211,Pervasive developmental disorders,8,0.1
212,"Periodontal disease, unspecified",8,0.1
213,Thyroiditis,8,0.1
