code,code and name
DIQ350U,DIQ350U - Unit of measure (day/week/month/year)
DIQ360,DIQ360 - Last time had pupils dilated for exam
DIQ080,DIQ080 - Diabetes affected eyes/had retinopathy
HEQ010,HEQ010 - Ever told you have Hepatitis B?
HEQ020,HEQ020 - Ever prescribed meds treat Hepatitis B?
HEQ030,HEQ030 - Ever told you have Hepatitis C?
HEQ040,HEQ040 - Ever prescribed meds treat Hepatitis C?
HUQ010,HUQ010 - General health condition
HUQ030,HUQ030 - Routine place to go for healthcare
HUQ051,HUQ051 - #times receive healthcare over past year
HUD062,HUD062 - How long since last healthcare visit
HUQ071,HUQ071 - Overnight hospital patient in last year
HUQ090,HUQ090 - Seen mental health professional/past yr
KIQ022,KIQ022 - Ever told you had weak/failing kidneys?
KIQ025,KIQ025 - Received dialysis in past 12 months?
KIQ026,KIQ026 - Ever had kidney stones?
KIQ029,KIQ029 - Pass kidney stone in past 12 months?
KIQ005,KIQ005 - How often have urinary leakage?
KIQ010,KIQ010 - How much urine lose each time?
KIQ042,KIQ042 - Leak urine during physical activities?
KIQ430,KIQ430 - How frequently does this occur?
KIQ044,KIQ044 - Urinated before reaching the toilet?
KIQ450,KIQ450 - How frequently does this occur?
KIQ046,KIQ046 - Leak urine during nonphysical activities
KIQ470,KIQ470 - How frequently does this occur?
KIQ050,KIQ050 - How much did urine leakage bother you?
KIQ052,KIQ052 - How much were daily activities affected?
KIQ480,KIQ480 - How many times urinate in night?
OCD150,OCD150 - Type of work done last week
OCQ180,OCQ180 - Hours worked last week in total all jobs
OCQ200,OCQ200 - CHECK ITEM
OCQ210,OCQ210 - Usually work 35 or more hours per week
OCQ670,OCQ670 - Overall work schedule past 3 months
OCD383,OCD383 - Main reason did not work last week
PAQ605,PAQ605 - Vigorous work activity
PAQ610,PAQ610 - Number of days vigorous work
PAD615,PAD615 - Minutes vigorous-intensity work
PAQ620,PAQ620 - Moderate work activity
PAQ625,PAQ625 - Number of days moderate work
PAD630,PAD630 - Minutes moderate-intensity work
PAQ635,PAQ635 - Walk or bicycle
PAQ640,PAQ640 - Number of days walk or bicycle
PAD645,PAD645 - Minutes walk/bicycle for transportation
PAQ650,PAQ650 - Vigorous recreational activities
PAQ655,PAQ655 - Days vigorous recreational activities
PAD660,PAD660 - Minutes vigorous recreational activities
PAQ665,PAQ665 - Moderate recreational activities
PAQ670,PAQ670 - Days moderate recreational activities
PAD675,PAD675 - Minutes moderate recreational activities
PAD680,PAD680 - Minutes sedentary activity
RXDUSE,"RXDUSE - Taken prescription medicine, past month"
RXDDRUG,RXDDRUG - Generic drug name
RXDDRGID,RXDDRGID - Generic drug code
RXQSEEN,RXQSEEN - Medicine container seen by interviewer
RXDDAYS,RXDDAYS - Number of days taken medicine
RXDRSC1,RXDRSC1 - ICD-10-CM code 1
RXDRSC2,RXDRSC2 - ICD-10-CM code 2
RXDRSC3,RXDRSC3 - ICD-10-CM code 3
RXDRSD1,RXDRSD1 - ICD-10-CM code 1 description
RXDRSD2,RXDRSD2 - ICD-10-CM code 2 description
RXDRSD3,RXDRSD3 - ICD-10-CM code 3 description
RXDCOUNT,RXDCOUNT - Number of prescription medicines taken
RHQ010,RHQ010 - Age when first menstrual period occurred
RHQ020,RHQ020 - Age range at first menstrual period
RHQ031,RHQ031 - Had regular periods in past 12 months
RHD043,RHD043 - Reason not having regular periods
RHQ060,RHQ060 - Age at last menstrual period
RHQ070,RHQ070 - Age range at last menstrual period
RHQ074,RHQ074 - Tried for a year to become pregnant?
RHQ076,RHQ076 - Seen a DR b/c unable to become pregnant?
RHQ078,RHQ078 - Ever treated for a pelvic infection/PID?
RHQ131,RHQ131 - Ever been pregnant?
RHD143,RHD143 - Are you pregnant now?
RHQ160,RHQ160 - How many times have been pregnant?
RHQ162,"RHQ162 - During pregnancy, told you have diabetes"
RHD167,RHD167 - Total number of deliveries
RHQ171,RHQ171 - How many deliveries live birth result?
RHQ172,RHQ172 - Any babies weigh 9 lbs or more?
RHD180,RHD180 - Age at first live birth
RHD190,RHD190 - Age at last live birth
RHQ197,RHQ197 - How many months ago have baby?
RHQ200,RHQ200 - Now breastfeeding a child?
RHD280,RHD280 - Had a hysterectomy?
RHQ305,RHQ305 - Had both ovaries removed?
RHQ332,RHQ332 - Age when both ovaries removed
RHQ540,RHQ540 - Ever use female hormones?
RHQ542A,RHQ542A - Hormone pills used
RHQ542B,RHQ542B - Hormone patches used
RHQ542C,RHQ542C - Hormone cream/suppository/injection used
RHQ542D,RHQ542D - Other form of female hormone used
RHQ554,RHQ554 - Use hormone pills w/estrogen only
RHQ570,RHQ570 - Used estrogen/progestin combo pills
SLQ300,SLQ300 - Usual sleep time on weekdays or workdays
SLQ310,SLQ310 - Usual wake time on weekdays or workdays
SLD012,SLD012 - Sleep hours - weekdays or workdays
SLQ320,SLQ320 - Usual sleep time on weekends
SLQ330,SLQ330 - Usual wake time on weekends
SLD013,SLD013 - Sleep hours - weekends
SLQ030,SLQ030 - How often do you snore?
SLQ040,SLQ040 - How often do you snort or stop breathing
